transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee,init_time,mu,sigma,est_mu,est_sigma,est_shift
0xfec01cc285129c99760bb67ae51380bdd931292d970ca9bfb30c313a3e5248e4,137,19000039,135726,17629529034,17619529034,1357260000000,0.025028944981698054,-1.870173890564745,0.7221301518848864,-1.8815352084608339,0.7323099995879191,0.02687889552792172
0xf042b4543cf9ae7f5bcd1f4791556ba86508ab0257402bfd889265920fece836,76,19000039,21000,24574132347,17619529034,146046669573000,0.032622237759929895,-1.870173890564745,0.7221301518848864,-1.8908565450722097,0.7373613337287123,0.03546708617331454
0x500643a9a3f5a97663b455053d3ce48ae0c72e7b5f485732a8735e398dc7e2da,156,19000039,52281,25000000000,17619529034,385858402573446,0.06312566160897815,-1.870173890564745,0.7221301518848864,-1.883034277927856,0.7376811066220746,0.0655508531307846
0xbb4a81837e2a8073fe04153beec5f44ab290c7a375113bb3700fcb171e2012e6,83,19000039,21000,19619529034,17619529034,42000000000000,0.15021187262428182,-1.870173890564745,0.7221301518848864,-1.8830090943933135,0.7249042358943043,0.15160536210449288
0xc88b4ed640b23c3055ef809292876daebaecc4e04bbfb3c6dbe07364ac7bc41e,50,19000039,40360,18000000000,17619529034,15355808187760,0.18333172956045818,-1.870173890564745,0.7221301518848864,-1.9010755334173475,0.7481326495587877,0.18822998612423672
0x15568d6842f8be7fac07f6bd52e2f94aa8ecd46e1c3ee9f5d87e831112e57535,142,19000039,478385,17629529034,17619529034,4783850000000,0.19552820256384873,-1.870173890564745,0.7221301518848864,-1.906551038646949,0.7387055310036341,0.20032597955113857
0x0a576ff1f5c722335403bc5623eded5e3275c23f2b17798cfb79552721dc9815,126,19000039,46361,17669529034,17619529034,2318050000000,0.21495288680917035,-1.870173890564745,0.7221301518848864,-1.8878672439212467,0.7378566280677892,0.2185634072001622
0x856b4d83ce34baa4bc89b57943eec42041a4a17af9e8db2bfe49dd236a986e33,172,19000039,51438,27619529034,17619529034,514380000000000,0.3061383924971923,-1.870173890564745,0.7221301518848864,-1.8905833596868789,0.7436308565662416,0.30938481586090416
0xa31668adf646497029bfb04a857c7707b02047f6916e096c692c2a8fc10198c5,116,19000039,21000,17719529034,17619529034,2100000000000,0.3582686561169055,-1.870173890564745,0.7221301518848864,-1.9081899547733094,0.7491147034249596,0.3642988126346262
0xf71d39ed0775b92b7aa3432aa54c0cb176b30cadf4c9442442a4e76e10752418,153,19000039,67154,25000000000,17619529034,495628147250764,0.3679285864097075,-1.870173890564745,0.7221301518848864,-1.8906561329422165,0.7394012419136184,0.37129146299264704
0x24c1332556e9798b85c774a71c605672d26b6410116622aa827bf393645919e1,38,19000039,44206,18932130777,17619529034,58024872651058,0.4338144161527917,-1.870173890564745,0.7221301518848864,-1.891988969614926,0.7414367273063464,0.4366484508558991
0x5ecd8cf1163f92033a163c77f773d2a88b348093a0821716272cc31881fcb85e,26,19000039,46109,20110552400,17619529034,114858596382894,0.5812389622684555,-1.870173890564745,0.7221301518848864,-1.8856561552834503,0.7363750330227926,0.5835828227085936
0xdc68e1d8619eb71ead83851a834e64d28a17f845bfb107fb8bf165367eb9b4c7,66,19000039,54784,17719529034,17619529034,5478400000000,0.6692093898384597,-1.870173890564745,0.7221301518848864,-1.8798308203786824,0.7300543820221072,0.6715309642223901
0xdf105e94b132853780fc729469c841d1484c6c7a60bde75580a48cfd722927c6,78,19000039,21000,22589721920,17619529034,104374050606000,0.701538748951303,-1.870173890564745,0.7221301518848864,-1.8881773276334881,0.7363070466602191,0.704291896544849
0x99c10ee844bba38f84e7daf55fc113425b3403f06541379c9978e8111f04e123,145,19000039,21000,25000000000,17619529034,154989890286000,1.0531684290568908,-1.870173890564745,0.7221301518848864,-1.8899179525044747,0.7364514657461603,1.0562305866659025
0x14558e65f1650a96328b6d3a0232af92debfe1629df90102a11eb92496223f25,104,19000039,21000,18282320364,17619529034,13918617930000,1.103937010524211,-1.870173890564745,0.7221301518848864,-1.9017324543449983,0.7463302122399776,1.1089311627383946
0x748b6ae06c869d92ac5eb56704af3d8729edaebffecfbf70332235ae484166cd,0,19000039,43186,28321458151,17619529034,462173510846762,1.1131115449608213,-1.870173890564745,0.7221301518848864,-1.8919448079344783,0.736944194801735,1.1167744766783088
0xb8d8c8cb78bce607a7e83dd7ff3502835d7a4943d178e2eb6a81e43110930fa3,162,19000039,21000,18619529034,17619529034,21000000000000,1.1493760234090713,-1.870173890564745,0.7221301518848864,-1.8809119028285317,0.7264461361442397,1.1509051923562295
0x5268b4cb68d9cd94af14f1b5139afc87ab976574b5315334c5f045c8f7fdc495,57,19000039,167863,17719529034,17619529034,16786300000000,1.3014215359551518,-1.870173890564745,0.7221301518848864,-1.9118857984038946,0.7469292525105052,1.3069542528252054
0x2cbc987c86cbca32e3d62d63417447804ec13deee2dd3709ef7aa6fc84b28356,98,19000039,21000,18619529034,17619529034,21000000000000,1.3322768843422845,-1.870173890564745,0.7221301518848864,-1.8913382175460431,0.7354160561848216,1.3353093477164406
0x5852a2d43c1ac8b6afa8ea70398306990e485d2de0fbdc718959f1f360e3f607,131,19000039,94723,17639529034,17619529034,1894460000000,1.3632639346016746,-1.870173890564745,0.7221301518848864,-1.885691648760351,0.737385983202393,1.3654481862620798
0xcfe06e77014d35e172bdc9dbec52c93049ac98a2ed6df38cf2b1a32dee259ada,87,19000039,21000,19619529034,17619529034,42000000000000,1.4844314160539613,-1.870173890564745,0.7221301518848864,-1.8808945803174948,0.7309843683336277,1.4863447613610083
