transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x6255ad7c10bd40a042451f484e17e1dc41d5663b2ccc040869d11233758fb6a2,0,19000026,151812,37551278238,17170647714,3094024281109488
0x2302db6a6df54565619e2ecd52ee3f900873b4b138d3d88f2905e2530b9cd7f6,1,19000026,109248,21821884887,17170647714,508138358675904
0x5427b2ab35440e9e35993982a1f100409436776be915d7bbf3e890b905f8ba93,2,19000026,103495,21719678417,17170647714,470801932606985
0x50b98f2177e3251db28698f49697c5a733f09db162fb302fb4fcfffb625b8505,3,19000026,154211,20170647714,17170647714,462633000000000
0x05329864d6d5e572e42a583e46f21d20e49737f913475ab274e37d3422141bdd,4,19000026,47163,19170647714,17170647714,94326000000000
0x9f9e6b98fc4cad05f2ec7b034590c562c08f1bbfab819ba47ff026df4bcf435a,5,19000026,161325,19170647714,17170647714,322650000000000
0x17bcf91b90fb3e89f60f9a2c70e6c24a48e3100a942eead4ab96f5d82a85dae6,6,19000026,174334,19170647714,17170647714,348668000000000
0x3afee852026bd07d2e46b11388f2a4a1657240fea810e06bc4ac564a08f691a0,7,19000026,145503,19170647714,17170647714,291006000000000
0x5b88e07f79eeb1868133fa63666ccacebe0b9126370a5083150f5c523f02c3a9,8,19000026,169327,17961523833,17170647714,133916680601913
0x464af8c39d5c2ca35bfc509781b87335ee755cd768782218d77ba438c8967636,9,19000026,46754,19280649557,17170647714,98651026167622
0x455323ad9fd61d03862b72f19c7069af947702fe2c3655e6968cf9f742f9dad0,10,19000026,91297,17891374511,17170647714,65800194385709
0xd6780b75891bb90d378a0a7c0d344dcc02225737c2bc2e173d6bff0c3e0d84f4,11,19000026,176047,17270647714,17170647714,17604700000000
0xe5e36a747cc06991c957e56edad952ac511c21020a07653f77d4a3c4db9968c6,12,19000026,344605,17220647714,17170647714,17230250000000
0x69b053a8f5a24ee0a6b160f88ae2693103a43ebe9d23d806b41e422d71b9d53f,13,19000026,162794,17260647714,17170647714,14651460000000
